penalty_value,seed,n_qubits,global_min_value,constraint_violations,n_chosen
1.0,28,9,0.6222147456317249,0,3
1.0,29,9,1.3967406690801045,0,3
2.0,0,9,0.9336988799325612,0,3
2.0,1,9,1.3023327003773435,0,3
2.0,2,9,1.3113352423912108,0,3
2.0,3,9,1.1573870109176463,0,3
2.0,4,9,0.7309072513226589,0,3
2.0,5,9,1.2532755412121785,0,3
2.0,6,9,0.9912373019284528,0,3
2.0,7,9,0.9104570325563417,0,3
2.0,8,9,1.7784178268163728,0,3
2.0,9,9,1.2792703971541286,0,3
2.0,10,9,1.1934553794805325,0,3
2.0,11,9,1.178635201242236,0,3
2.0,12,9,0.9498699486392015,0,3
2.0,13,9,0.7584701574410015,0,3
2.0,14,9,1.4405093802406013,0,3
2.0,15,9,0.8110842485535752,0,3
2.0,16,9,1.3934863470242291,0,3
2.0,17,9,1.1088791527228006,0,3
2.0,18,9,0.8844834497756562,0,3
2.0,19,9,1.3582494649543255,0,3
2.0,20,9,1.388803587435003,0,3
2.0,21,9,0.653426638942534,0,3
2.0,22,9,1.0474856982636958,0,3
2.0,23,9,2.281721841615798,0,3
2.0,24,9,1.0571918035855958,0,3
2.0,25,9,1.031324187163058,0,3
2.0,26,9,1.8032643956320236,0,3
2.0,27,9,1.487642133093276,0,3
2.0,28,9,0.6222147456317249,0,3
2.0,29,9,1.3967406690801045,0,3
5.0,0,9,0.9336988799325603,0,3
5.0,1,9,1.3023327003773417,0,3
5.0,2,9,1.3113352423912126,0,3
5.0,3,9,1.1573870109176454,0,3
5.0,4,9,0.7309072513226589,0,3
5.0,5,9,1.2532755412121777,0,3
5.0,6,9,0.9912373019284537,0,3
5.0,7,9,0.9104570325563408,0,3
5.0,8,9,1.7784178268163728,0,3
5.0,9,9,1.2792703971541286,0,3
5.0,10,9,1.1934553794805325,0,3
5.0,11,9,1.1786352012422352,0,3
5.0,12,9,0.9498699486392042,0,3
5.0,13,9,0.7584701574410015,0,3
5.0,14,9,1.4405093802405986,0,3
5.0,15,9,0.8110842485535734,0,3
5.0,16,9,1.3934863470242291,0,3
5.0,17,9,1.1088791527227997,0,3
5.0,18,9,0.8844834497756562,0,3
5.0,19,9,1.3582494649543264,0,3
5.0,20,9,1.388803587435003,0,3
5.0,21,9,0.653426638942534,0,3
5.0,22,9,1.0474856982636958,0,3
5.0,23,9,2.2817218416157985,0,3
5.0,24,9,1.0571918035855958,0,3
5.0,25,9,1.031324187163058,0,3
5.0,26,9,1.8032643956320236,0,3
5.0,27,9,1.487642133093276,0,3
5.0,28,9,0.6222147456317231,0,3
5.0,29,9,1.3967406690801027,0,3
10.0,0,9,0.9336988799325603,0,3
10.0,1,9,1.3023327003773417,0,3
10.0,2,9,1.3113352423912126,0,3
10.0,3,9,1.1573870109176454,0,3
10.0,4,9,0.7309072513226553,0,3
10.0,5,9,1.2532755412121759,0,3
10.0,6,9,0.9912373019284502,0,3
10.0,7,9,0.9104570325563444,0,3
10.0,8,9,1.7784178268163728,0,3
10.0,9,9,1.2792703971541286,0,3
10.0,10,9,1.1934553794805325,0,3
10.0,11,9,1.178635201242237,0,3
10.0,12,9,0.9498699486392042,0,3
10.0,13,9,0.7584701574410033,0,3
10.0,14,9,1.4405093802406057,0,3
10.0,15,9,0.8110842485535734,0,3
10.0,16,9,1.3934863470242291,0,3
10.0,17,9,1.1088791527227997,0,3
10.0,18,9,0.884483449775658,0,3
10.0,19,9,1.3582494649543264,0,3
10.0,20,9,1.3888035874350066,0,3
10.0,21,9,0.653426638942534,0,3
10.0,22,9,1.0474856982636993,0,3
10.0,23,9,2.2817218416157985,0,3
10.0,24,9,1.0571918035855958,0,3
10.0,25,9,1.031324187163058,0,3
10.0,26,9,1.8032643956320236,0,3
10.0,27,9,1.4876421330932743,0,3
10.0,28,9,0.6222147456317231,0,3
10.0,29,9,1.3967406690801027,0,3
25.0,0,9,0.9336988799325638,0,3
25.0,1,9,1.3023327003773488,0,3
25.0,2,9,1.311335242391209,0,3
25.0,3,9,1.1573870109176454,0,3
25.0,4,9,0.7309072513226624,0,3
25.0,5,9,1.2532755412121759,0,3
25.0,6,9,0.9912373019284502,0,3
25.0,7,9,0.9104570325563373,0,3
25.0,8,9,1.7784178268163657,0,3
25.0,9,9,1.2792703971541215,0,3
25.0,10,9,1.1934553794805254,0,3
25.0,11,9,1.1786352012422299,0,3
25.0,12,9,0.9498699486391899,0,3
25.0,13,9,0.7584701574409962,0,3
25.0,14,9,1.4405093802405986,0,3
25.0,15,9,0.8110842485535841,0,3
25.0,16,9,1.3934863470242362,0,3
25.0,17,9,1.1088791527228068,0,3
25.0,18,9,0.884483449775658,0,3
25.0,19,9,1.3582494649543264,0,3
25.0,20,9,1.3888035874350066,0,3
25.0,21,9,0.653426638942534,0,3
25.0,22,9,1.0474856982636993,0,3
25.0,23,9,2.2817218416157914,0,3
25.0,24,9,1.0571918035855958,0,3
25.0,25,9,1.031324187163051,0,3
25.0,26,9,1.8032643956320271,0,3
25.0,27,9,1.4876421330932743,0,3
25.0,28,9,0.6222147456317231,0,3
25.0,29,9,1.3967406690801027,0,3
50.0,0,9,0.9336988799325638,0,3
50.0,1,9,1.3023327003773488,0,3
50.0,2,9,1.311335242391209,0,3
50.0,3,9,1.1573870109176596,0,3
50.0,4,9,0.7309072513226624,0,3
50.0,5,9,1.25327554121219,0,3
50.0,6,9,0.991237301928436,0,3
50.0,7,9,0.9104570325563373,0,3
50.0,8,9,1.7784178268163942,0,3
50.0,9,9,1.2792703971541357,0,3
50.0,10,9,1.1934553794805538,0,3
50.0,11,9,1.1786352012422299,0,3
50.0,12,9,0.9498699486391899,0,3
50.0,13,9,0.7584701574410246,0,3
50.0,14,9,1.4405093802405986,0,3
50.0,15,9,0.8110842485535841,0,3
50.0,16,9,1.3934863470242362,0,3
50.0,17,9,1.1088791527228068,0,3
50.0,18,9,0.8844834497756437,0,3
50.0,19,9,1.3582494649543264,0,3
50.0,20,9,1.3888035874350066,0,3
50.0,21,9,0.653426638942534,0,3
50.0,22,9,1.0474856982636993,0,3
50.0,23,9,2.2817218416157914,0,3
50.0,24,9,1.0571918035855958,0,3
50.0,25,9,1.031324187163051,0,3
50.0,26,9,1.8032643956320271,0,3
50.0,27,9,1.4876421330932885,0,3
50.0,28,9,0.6222147456317089,0,3
50.0,29,9,1.3967406690800885,0,3
100.0,0,9,0.9336988799325354,0,3
100.0,1,9,1.3023327003773488,0,3
100.0,2,9,1.3113352423912374,0,3
100.0,3,9,1.1573870109176596,0,3
100.0,4,9,0.7309072513226624,0,3
100.0,5,9,1.25327554121219,0,3
100.0,6,9,0.991237301928436,0,3
100.0,7,9,0.9104570325563373,0,3
100.0,8,9,1.7784178268163942,0,3
100.0,9,9,1.2792703971541073,0,3
100.0,10,9,1.1934553794805538,0,3
100.0,11,9,1.1786352012422299,0,3
100.0,12,9,0.9498699486391615,0,3
100.0,13,9,0.7584701574410246,0,3
100.0,14,9,1.4405093802405986,0,3
100.0,15,9,0.8110842485535841,0,3
100.0,16,9,1.3934863470242362,0,3
100.0,17,9,1.1088791527228068,0,3
100.0,18,9,0.8844834497756437,0,3
100.0,19,9,1.3582494649543264,0,3
100.0,20,9,1.3888035874350066,0,3
100.0,21,9,0.6534266389425056,0,3
100.0,22,9,1.0474856982636993,0,3
100.0,23,9,2.28172184161582,0,3
100.0,24,9,1.0571918035856243,0,3
100.0,25,9,1.0313241871630225,0,3
100.0,26,9,1.8032643956320271,0,3
100.0,27,9,1.4876421330932885,0,3
100.0,28,9,0.6222147456317089,0,3
100.0,29,9,1.3967406690801454,0,3
